"outcome","model","term","estimate","std.error","z","p.value","OR","OR_lo","OR_hi","p_fdr_BH","p_holm"
"institutional_response","logit_HC3","gendered_case",-0.0119869881642559,0.223864188747302,-0.0535458048530792,0.957297035976466,0.988084569572406,0.63714322981698,1.5323259683816,0.981405417166013,1
"institutional_response","logit_HC3","severe_coharm",1.20278006289421,0.229667210917682,5.23705607817617,1.6315813018681e-07,3.32935989867206,2.12257999915276,5.22224714230329,5.54737642635155e-06,5.54737642635155e-06
"institutional_response","logit_HC3","region2",-0.0657396621566737,0.488117132535367,-0.134680095769657,0.892864811065368,0.936374606308158,0.359712836610782,2.43749267221029,0.981405417166013,1
"institutional_response","logit_HC3","region3",-0.430299655460822,0.539892708504794,-0.797009570017189,0.425445473336901,0.650314195323562,0.225713368839037,1.87365309735339,0.761323478602876,1
"institutional_response","logit_HC3","region4",-0.494503141625942,0.491107501061528,-1.00691425106942,0.313975982951773,0.609873852960494,0.23291682958597,1.59690528668987,0.711678894690685,1
"institutional_response","logit_HC3","region5",-0.218348099741251,0.493560796144574,-0.44239352364869,0.658204464692639,0.803845574522049,0.305523903311871,2.11494976554777,0.955702850440268,1
"q40_police","logit_HC3","female",-0.326410516839603,0.343364125816063,-0.950624984668487,0.341794780863709,0.721508935059816,0.368098687784026,1.41422710986839,0.950583595794546,1
"q40_police","logit_HC3","age_cat10s",-0.285751975026492,0.887278704653027,-0.322054359614363,0.747411513415554,0.751448970946695,0.132017837077961,4.27726713628392,0.950583595794546,1
"q40_police","logit_HC3","age_cat30s",-0.983804286292288,0.416206445740347,-2.36374111059789,0.0180914500731305,0.37388602040461,0.165370160636637,0.845320314836937,0.153777325621609,0.560834952267046
"q40_police","logit_HC3","age_cat40s",-0.754427159959537,0.476864059611515,-1.58205917337143,0.113636062631327,0.470279932760809,0.184689227682742,1.19748844008068,0.648561183407721,1
"q40_police","logit_HC3","age_cat50s",-0.755685523364052,0.503677413400517,-1.50033633285665,0.133527302466295,0.469688521886487,0.17501330950627,1.26051731845005,0.648561183407721,1
"q40_police","logit_HC3","age_cat60s",-0.207417692941706,0.491264696822439,-0.422211679942218,0.672870516938034,0.812680128331139,0.31027493150769,2.12859281855307,0.950583595794546,1
"q40_police","logit_HC3","college",0.365146172302815,0.497900409746535,0.733371905616023,0.463331629541356,1.44072458678903,0.542949681570144,3.82298287564291,0.950583595794546,1
"q40_police","logit_HC3","married",0.269292102517587,0.385642045098761,0.698295494332374,0.484992416423804,1.30903745834302,0.614733581482309,2.78751498041347,0.950583595794546,1
"q40_police","logit_HC3","employed",-0.0389598657422888,0.53061578736148,-0.0734238721693886,0.941468821618266,0.961789309071766,0.33994657401438,2.72112957080607,0.950583595794546,1
"q40_police","logit_HC3","one_person",0.3349526038688,0.411840045189522,0.81330751533562,0.416041769273198,1.3978741298267,0.623595171543667,3.1335266403709,0.950583595794546,1
"q40_police","logit_HC3","disability",-0.349846671663422,0.760933016457681,-0.45976014195315,0.645688395445787,0.7047961466552,0.158615002027019,3.13171895465096,0.950583595794546,1
"q40_police","logit_HC3","own_victim",-0.153098897007866,0.412844527246434,-0.370839109892037,0.710757369558079,0.858044859545927,0.382023111685631,1.92721581096132,0.950583595794546,1
"q40_police","logit_HC3","victim_blaming_z",0.020368882383959,0.225897881631569,0.0901685409214233,0.928153283174229,1.02057774374927,0.655477720041456,1.58903788670417,0.950583595794546,1
"q40_police","logit_HC3","crime_denial_z",0.0138108053354924,0.222848641957355,0.0619739264021867,0.950583595794546,1.01390661506927,0.655096626468637,1.56924426496102,0.950583595794546,1
"q40_police","logit_HC3","stereotype_z",-0.202161915242659,0.160600970544667,-1.2587838949979,0.208108398962488,0.816962638528829,0.596342675940994,1.11920206230222,0.773283958044293,1
"q40_police","logit_HC3","fear_z",0.368503474997709,0.241684440550338,1.52472982604338,0.127326499219558,1.44556966397127,0.900146250340767,2.32148015125644,0.648561183407721,1
"q40_police","logit_HC3","cjs_distrust_z",0.0213792715206153,0.268669964898493,0.0795744754300788,0.936575696481088,1.02160944553703,0.603376523717512,1.72974223919112,0.950583595794546,1
"q40_police","logit_HC3","gender_awareness_z",0.307206261119609,0.216704346811423,1.41762851387075,0.156299250816625,1.35962137617964,0.889110051531711,2.07912426968967,0.664271815970655,1
"q40_police","logit_HC3","gender_hierarchy_z",-0.0298368935478025,0.138897935062553,-0.214811642335542,0.829914175514334,0.970603832385966,0.739281251699645,1.27430771073452,0.950583595794546,1
"q40_police","logit_HC3","stedu",0.816425957467057,0.322925980098757,2.5282139183022,0.0114644475741091,2.26239945871394,1.20140419654507,4.26039073736258,0.153777325621609,0.378326769945599
